"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
9.644516250E-1,-9.097362518E0,-1.452550411E1,-5.224184036E1,5.498147105E1
9.744996250E-1,-9.265335083E0,-1.472008038E1,-5.202597046E1,5.485643812E1
9.845466250E-1,-9.173080444E0,-1.480720234E1,-5.214888000E1,5.498094517E1
9.945936250E-1,-8.968235016E0,-1.523158932E1,-5.220591354E1,5.511703876E1
1.004641625E0,-9.084022522E0,-1.517600346E1,-5.206518555E1,5.498739939E1
1.014688625E0,-9.027641296E0,-1.518128490E1,-5.235154343E1,5.525082640E1
1.024735625E0,-9.026813507E0,-1.536037922E1,-5.250690079E1,5.544726542E1
1.034783625E0,-9.001403809E0,-1.534608555E1,-5.245092773E1,5.538616644E1
1.044830625E0,-8.844306946E0,-1.522760677E1,-5.236532211E1,5.524697941E1
1.054877625E0,-8.881484985E0,-1.516256809E1,-5.211071777E1,5.499373740E1
1.064925625E0,-8.996238708E0,-1.509442234E1,-5.249440002E1,5.535734758E1
1.074972625E0,-9.267227173E0,-1.490570927E1,-5.244729614E1,5.530624324E1
1.085019625E0,-9.412689209E0,-1.501438618E1,-5.244768524E1,5.536054730E1
1.095066625E0,-9.616321564E0,-1.509463596E1,-5.230413055E1,5.528149553E1
1.105114625E0,-1.003781128E1,-1.500324917E1,-5.228215790E1,5.531075099E1
1.115161625E0,-1.030513763E1,-1.527888203E1,-5.207282639E1,5.523784342E1
1.125208625E0,-1.055923080E1,-1.550195599E1,-5.175140381E1,5.504557921E1
1.135256625E0,-1.072834015E1,-1.562367153E1,-5.166361618E1,5.503022471E1
1.145303625E0,-1.086420059E1,-1.577777576E1,-5.170671082E1,5.514120969E1
1.155350625E0,-1.092113113E1,-1.583545589E1,-5.153207397E1,5.500533989E1
1.165398625E0,-1.106511688E1,-1.594814014E1,-5.126198959E1,5.481397233E1
1.175445625E0,-1.127174759E1,-1.612037277E1,-5.130345917E1,5.494509655E1
1.185492625E0,-1.139943314E1,-1.609676743E1,-5.131616974E1,5.497637924E1
1.195540625E0,-1.159117508E1,-1.594991970E1,-5.117566299E1,5.484253606E1
1.205587625E0,-1.158539200E1,-1.592313671E1,-5.120201874E1,5.485812896E1
1.215634625E0,-1.145420456E1,-1.583546543E1,-5.131228256E1,5.490820621E1
1.225681625E0,-1.159367371E1,-1.560261822E1,-5.139379120E1,5.494703576E1
1.235729625E0,-1.160938644E1,-1.553372860E1,-5.141808319E1,5.495356091E1
1.245776625E0,-1.157594681E1,-1.544493580E1,-5.127013016E1,5.478297941E1
1.255823625E0,-1.191104889E1,-1.526430798E1,-5.134401321E1,5.487330751E1
1.265871625E0,-1.198983002E1,-1.543009663E1,-5.144791794E1,5.503391832E1
1.275918625E0,-1.200004578E1,-1.531679440E1,-5.156834412E1,5.511714256E1
1.285965625E0,-1.199575043E1,-1.510288334E1,-5.152073669E1,5.501255696E1
1.296013625E0,-1.226787567E1,-1.471317959E1,-5.145652771E1,5.490676344E1
1.306060625E0,-1.232157135E1,-1.460229969E1,-5.144129562E1,5.487490476E1
1.316107625E0,-1.228796005E1,-1.430510044E1,-5.162788391E1,5.496424527E1
1.326154625E0,-1.248480606E1,-1.413374424E1,-5.163149261E1,5.496766448E1
1.336202625E0,-1.276813507E1,-1.370159435E1,-5.173559952E1,5.502118881E1
1.346249625E0,-1.277986908E1,-1.349824810E1,-5.185673904E1,5.508764961E1
1.356296625E0,-1.297995758E1,-1.310092831E1,-5.180757904E1,5.499217096E1
1.366344625E0,-1.306836700E1,-1.298835087E1,-5.169205856E1,5.487757641E1
1.376391625E0,-1.336601257E1,-1.272141933E1,-5.160311508E1,5.480297700E1
1.386438625E0,-1.363842773E1,-1.269873905E1,-5.166790009E1,5.492573699E1
1.396486625E0,-1.379007721E1,-1.258324528E1,-5.157115555E1,5.484604248E1
1.406533625E0,-1.398019028E1,-1.223704243E1,-5.159986877E1,5.484284261E1
1.416580625E0,-1.409534073E1,-1.222880650E1,-5.164822388E1,5.491594821E1
1.426627625E0,-1.422778702E1,-1.202575016E1,-5.167240143E1,5.492800433E1
1.436675625E0,-1.435443878E1,-1.169959927E1,-5.162685013E1,5.484762702E1
1.446722625E0,-1.446222305E1,-1.158881664E1,-5.159611511E1,5.482349552E1
1.456769625E0,-1.465930176E1,-1.137325382E1,-5.165567017E1,5.488674057E1
1.466817625E0,-1.498570633E1,-1.121498013E1,-5.154894257E1,5.484196070E1
1.476864625E0,-1.534709549E1,-1.116427898E1,-5.146584320E1,5.485350929E1
1.486911625E0,-1.575260544E1,-1.085864353E1,-5.118396378E1,5.464295806E1
1.496959625E0,-1.637944412E1,-1.091104221E1,-5.106480026E1,5.472614419E1
1.507006625E0,-1.703190613E1,-1.085699940E1,-5.094648361E1,5.480423756E1
1.517053625E0,-1.757638931E1,-1.043679905E1,-5.068660736E1,5.465334758E1
1.527100625E0,-1.809562302E1,-1.006870365E1,-5.059026718E1,5.466448115E1
1.537148625E0,-1.849943542E1,-1.011704731E1,-5.061384583E1,5.483014815E1
1.547195625E0,-1.899242783E1,-9.859423637E0,-5.055436325E1,5.489685048E1
1.557242625E0,-1.938644791E1,-9.580979347E0,-5.023358536E1,5.469042536E1
1.567290625E0,-1.972000885E1,-9.176806450E0,-5.021689987E1,5.472503594E1
1.577337625E0,-2.002857208E1,-8.810860634E0,-5.028132629E1,5.483599857E1
1.587384625E0,-2.048181534E1,-8.550707817E0,-5.014453506E1,5.483697439E1
1.597432625E0,-2.077046967E1,-8.455597878E0,-5.011975098E1,5.490809579E1
1.607479625E0,-2.101650620E1,-8.221964836E0,-4.991663361E1,5.478106013E1
1.617526625E0,-2.144828415E1,-8.065348625E0,-4.960538864E1,5.464223022E1
1.627573625E0,-2.186234665E1,-7.838477135E0,-4.953414917E1,5.470864519E1
1.637621625E0,-2.210625076E1,-7.432903290E0,-4.942673492E1,5.465287275E1
1.647668625E0,-2.231618881E1,-7.262401581E0,-4.936050034E1,5.465540919E1
1.657715208E0,-2.257781982E1,-6.781569481E0,-4.929323578E1,5.464037634E1
1.667763208E0,-2.261978531E1,-6.324073792E0,-4.940896988E1,5.470735692E1
1.677810208E0,-2.263331223E1,-6.004298210E0,-4.924499512E1,5.452878106E1
1.687857208E0,-2.254361343E1,-5.658540726E0,-4.945125961E1,5.464119936E1
1.697905208E0,-2.231143188E1,-5.862333298E0,-4.936228180E1,5.448671222E1
1.707952208E0,-2.243091202E1,-5.681634903E0,-4.972012329E1,5.484083742E1
1.717999208E0,-2.226099777E1,-5.521209717E0,-4.968740463E1,5.472544159E1
1.728046208E0,-2.212826920E1,-5.568468094E0,-4.967126083E1,5.466170769E1
1.738094208E0,-2.231666946E1,-5.263291359E0,-4.958100891E1,5.462611479E1
1.748141208E0,-2.241286469E1,-5.036666870E0,-4.976190567E1,5.480831846E1
